"0","16","15","Item","Input"
"1","6","1","Item","Input"
"2","20","15","Item","Input"
"3","13","1","Item","Output"
"4","7","1","Item","Output"
"5","4","1","Item","Output"
"6","4","1","Item","Output"
"7","4","1","Item","Output"
"8","4","1","Item","Output"
"9","4","1","Item","Output"
"10","4","1","Item","Output"
"11","4","1","Item","Output"
"12","4","1","Item","Output"
"13","4","1","Item","Output"
"14","20","1","Item","Input"
"15","7","1","Item","Output"
"16","20","1","Item","Input"
"17","4","1","Item","Output"
"18","20","1","Item","Input"
"19","5","1","Item","Output"
