"0","20","Medical"
"1","21","Medical"
"2","6","Medical"
"3","22","Medical"
"4","23","Medical"
"5","4","Medical"
"6","16","Civilian"
"7","17","Civilian"
"8","22","Civilian"
"9","23","Civilian"
"10","19","Civilian"
"11","6","Military"
"12","7","Military"
"13","5","Military"
"14","4","Military"
"15","19","Military"
"16","18","Military"
"17","13","Military"
"18","15","Military"
"19","14","Military"
"20","12","Military"
"21","20","Secret"
"22","21","Secret"
"23","6","Secret"
"24","22","Secret"
"25","23","Secret"
"26","5","Secret"
"27","6","Secret"
"28","15","Secret"
"29","14","Secret"
